expediente,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad,IUM
19917963,CENTRUM CON LUTEINA.,PFIZER S.A.S.,INVIMA 2011M-0000831-R1,13/12/2001,11/09/2016,Vencido,19917963,12,130.0,PREPACK (FRASCO X 100 TABLETAS + FRASCO X 30 TABLETAS) FRASCO EN HDPE CON TAPA PPSIN DATODE SEGURIDAD ( SILICA GEL),Inactivo,11/10/2006,11/09/2016,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,LUTEINA5% EQUIVALENTEA,mcg,25000000.0,TABLETA,TABLETA,PFIZER S.A.S.,IMPORTADOR,IMPORTAR Y VENDER,
19917963,CENTRUM CON LUTEINA.,PFIZER S.A.S.,INVIMA 2011M-0000831-R1,13/12/2001,11/09/2016,Vencido,19917963,14,67.0,PREPACK (FRASCO XSIN DATOSIN DATO60 TABLETAS + FRASCO X 7 TABLETAS) FRASCO EN HDPE CON TAPA PPSIN DATODE SEGURIDAD ( SILICA GEL),Inactivo,10/06/2011,18/09/2015,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,CLORURO DE POTASIO EQUIVALENTE ACLORURO,mg,7200000.0,TABLETA,TABLETA,PFIZER CANADA INC.,FABRICANTE,IMPORTAR Y VENDER,
19917963,CENTRUM CON LUTEINA.,PFIZER S.A.S.,INVIMA 2011M-0000831-R1,13/12/2001,11/09/2016,Vencido,19917963,16,7.0,FRASCOSIN DATOEN HDPE CON TAPA PPSIN DATODE SEGURIDAD ( SILICA GEL)SIN DATOX 7 TABLETAS,Inactivo,10/06/2011,18/09/2015,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,SULFATO DE NIQUEL HEXAHIDRATO EQUIVALENTE ANIQUEL,mcg,500000.0,TABLETA,TABLETA,WYETH CONSUMER HEALTHCARE LTD.,IMPORTADOR,IMPORTAR Y VENDER,
19917963,CENTRUM CON LUTEINA.,PFIZER S.A.S.,INVIMA 2011M-0000831-R1,13/12/2001,11/09/2016,Vencido,19917963,18,7.0,MUESTRA MÉDICA: CAJASIN DATOCON UNSIN DATOFRASCOSIN DATOEN HDPE CON TAPA PPSIN DATODE SEGURIDAD ( SILICA GEL)SIN DATOX 7 TABLETAS,Inactivo,10/06/2011,18/09/2015,Si,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,SULFATO DE MANGANESO MONOHIDRATO EQUIVALENTE A MANGANESO,mg,200000.0,TABLETA,TABLETA,PFIZER PFE COLOMBIA S.A.S,IMPORTADOR,IMPORTAR Y VENDER,
19917963,CENTRUM CON LUTEINA.,PFIZER S.A.S.,INVIMA 2011M-0000831-R1,13/12/2001,11/09/2016,Vencido,19917963,19,60.0,MUESTRA MÉDICA: CAJASIN DATOCON UNSIN DATOFRASCOSIN DATOEN HDPE CON TAPA PPSIN DATODE SEGURIDAD ( SILICA GEL)SIN DATOX 60 TABLETAS,Inactivo,10/06/2011,11/09/2016,Si,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,CLORURO DE POTASIOEQUIVALENTE A POTASIO,mg,8000000.0,TABLETA,TABLETA,PFIZER PFE COLOMBIA S.A.S,IMPORTADOR,IMPORTAR Y VENDER,
19917963,CENTRUM CON LUTEINA.,PFIZER S.A.S.,INVIMA 2011M-0000831-R1,13/12/2001,11/09/2016,Vencido,19917963,21,100.0,MUESTRA MÉDICA: CAJASIN DATOCON UNSIN DATOFRASCOSIN DATOEN HDPE CON TAPA PPSIN DATODE SEGURIDAD ( SILICA GEL)SIN DATOX 100 TABLETAS,Inactivo,10/06/2011,11/09/2016,Si,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,CARBONATO DE CALCIOYFOSFATODE CALCIODIBASICODIHIDRATADOEQUIVALENTE A CALCIO,mg,16200000.0,TABLETA,TABLETA,PFIZER PFE COLOMBIA S.A.S,IMPORTADOR,IMPORTAR Y VENDER,
19917963,CENTRUM CON LUTEINA.,PFIZER S.A.S.,INVIMA 2011M-0000831-R1,13/12/2001,11/09/2016,Vencido,19917963,23,90.0,PREPACKSIN DATO( FRASCO POR 60 TABLETAS + FRASCO POR 30 TABLETAS). FRASCO EN HDPE CON TAPA PP DE SEGURIDAD (SILICA GEL).,Inactivo,18/09/2015,11/09/2016,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,METAVANADATODE SODIO EQUIVALENTE A VANADIO,mcg,1000000.0,TABLETA,TABLETA,PFIZER PFE COLOMBIA S.A.S,IMPORTADOR,IMPORTAR Y VENDER,
19917963,CENTRUM CON LUTEINA.,PFIZER S.A.S.,INVIMA 2011M-0000831-R1,13/12/2001,11/09/2016,Vencido,19917963,23,90.0,PREPACKSIN DATO( FRASCO POR 60 TABLETAS + FRASCO POR 30 TABLETAS). FRASCO EN HDPE CON TAPA PP DE SEGURIDAD (SILICA GEL).,Inactivo,18/09/2015,11/09/2016,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,PANTOTENATO DE CALCIO EQUIVALENTE A ÁCIDO PANTOTÉNICO,mg,1000000.0,TABLETA,TABLETA,PFIZER PFE COLOMBIA S.A.S,IMPORTADOR,IMPORTAR Y VENDER,
225033,NIMECIDE 100 MG COMPRIMIDOS,LABORATORIOS LETI S.A.V,INVIMA M-13810,25/10/1999,11/03/2009,Vencido,225033,4,20.0,ESTUCHE DE CARTON POR 20 COMPRIMIDOS EN BLISTER DE PVC/FOIL DE ALUMINIO,Inactivo,11/10/2006,11/03/2009,No,U,M01AX17,NIMESULIDA,ORAL,A,NIMESULIDE BETA-CICLODEXTRINA 400.00 MG EQUIVALENTES A NIMESULIDE,mg,10000000.0,COMPRIMIDO,TABLETA,LABORATORIOS LETI S.A.V,FABRICANTE,IMPORTAR Y VENDER,
224165,CENTRUM JUNIOR,PFIZER S.A.S.,INVIMA 2008 M-007219 R1,17/10/1997,13/02/2018,Vencido,224165,4,20.0,FRASCO DE POLIETILENO DE ALTA DENSIDAD POR 20 TABLETAS EN CAJA PLEGADIZA,Inactivo,11/10/2006,13/02/2018,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,BUCAL,A,COBRE,mg,200000.0,TABLETA MASTICABLE,TABLETA MASTICABLE,PFIZER S.A.S.,IMPORTADOR,IMPORTAR Y VENDER,
224165,CENTRUM JUNIOR,PFIZER S.A.S.,INVIMA 2008 M-007219 R1,17/10/1997,13/02/2018,Vencido,224165,7,60.0,FRASCO DE POLIETILENO DE ALTA DENSIDAD POR 60 TABLETAS EN CAJA PLEGADIZA,Inactivo,11/10/2006,13/02/2018,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,BUCAL,A,CALCIO,mg,10800000.0,TABLETA,TABLETA MASTICABLE,PFIZER PFE COLOMBIA S.A.S,IMPORTADOR,IMPORTAR Y VENDER,
224165,CENTRUM JUNIOR,PFIZER S.A.S.,INVIMA 2008 M-007219 R1,17/10/1997,13/02/2018,Vencido,224165,9,80.0,FRASCO DE POLIETILENO DE ALTA DENSIDAD POR 80 TABLETAS EN CAJA PLEGADIZA,Inactivo,11/10/2006,13/02/2018,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,BUCAL,A,VITAMINA A( 20% COMO BETACAROTENO),IU,500000000.0,TABLETA MASTICABLE,TABLETA MASTICABLE,WYETH CONSUMER HEALTHCARE LTD.,IMPORTADOR,IMPORTAR Y VENDER,
224165,CENTRUM JUNIOR,PFIZER S.A.S.,INVIMA 2008 M-007219 R1,17/10/1997,13/02/2018,Vencido,224165,10,100.0,FRASCO DE POLIETILENO DE ALTA DENSIDAD POR 100 TABLETAS EN CAJA PLEGADIZA,Inactivo,11/10/2006,13/02/2018,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,BUCAL,A,HIERRO,mg,1800000.0,TABLETA,TABLETA MASTICABLE,PFIZER PFE COLOMBIA S.A.S,IMPORTADOR,IMPORTAR Y VENDER,
224165,CENTRUM JUNIOR,PFIZER S.A.S.,INVIMA 2008 M-007219 R1,17/10/1997,13/02/2018,Vencido,224165,10,100.0,FRASCO DE POLIETILENO DE ALTA DENSIDAD POR 100 TABLETAS EN CAJA PLEGADIZA,Inactivo,11/10/2006,13/02/2018,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,BUCAL,A,VITAMINA A( 20% COMO BETACAROTENO),IU,500000000.0,TABLETA MASTICABLE,TABLETA MASTICABLE,PFIZER S.A.S.,IMPORTADOR,IMPORTAR Y VENDER,
32945,BIOFLEX 750MG FORTE TABLETAS,SMITHKLINE BEECHAM COLOMBIA S. A.,INVIMA M-010563,15/02/1999,22/02/2009,Vencido,32945,2,10.0,CAJA DE CARTULINA X 10 TABLETAS EN BLISTER DE PVC-ALUMINIO X 10 TABLETAS,Inactivo,11/10/2006,22/02/2009,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,METOCARBAMOL,mg,75000000.0,TABLETA,TABLETA,SMITHKLINE BEECHAM COLOMBIA S. A.,IMPORTADOR,IMPORTAR Y VENDER,
224142,ATRACURIO BESILATO 10 MG /ML.,ABBOTT LABORATORIES DE COLOMBIA S.A.S.,INVIMA M-010992,06/10/1998,23/06/2008,Vencido,224142,1,10.0,VIAL MULTIDOSIS X 10 ML,Inactivo,11/10/2006,23/06/2008,No,U,M03AC04,ATRACURIO,PARENTERAL,A,ATRACURIO BESILATO,mg,1000000.0,1 ML,SOLUCION INYECTABLE,ABBOTT LABORATORIES DE COLOMBIA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER,
225315,DIAMOX 250MG TABLETAS,WYETH INC,INVIMA M- 010470,30/03/1998,04/04/2008,Vencido,225315,2,30.0,CAJA POR 30 TABLETAS EN BLISTER X 10 TABLETAS.,Inactivo,11/10/2006,04/04/2008,No,U,S01EC01,ACETAZOLAMIDA,ORAL,A,ACETAZOLAMIDA,mg,25000000.0,TABLETA,TABLETA,PRODUCTORA DE CAPSULAS DE GELATINA S.A.. PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER,
218855,SHAKLEE VITALEA,SHAKLEE CORPORATION,INVIMA M-011692,10/08/1998,23/10/2008,Vencido,218855,1,120.0,FRASCO X 120 TABLETAS. FRASCO ÁMBAR DE POLIETILENO DE ALTA DENSIDAD. TAPA PLÁSTICA BLANCA.,Inactivo,11/10/2006,23/10/2008,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,VITAMINA K,æg,8000000.0,TABLETAS,TABLETA,SHAKLEE CORPORATION,FABRICANTE,IMPORTAR Y VENDER,
219605,DIPIRONA 1 GAMPOLLA POR 2 ML,FARMIONNI SCALPI S.A.,INVIMA M-013167,16/06/1999,29/06/2009,Vencido,219605,5,12.0,CAJAS CON 6 AMPOLLAS DE VIDRIO ÁMBAR TIPO I POR 2 ML CADA UNA.,Inactivo,11/10/2006,29/06/2009,No,ml,N02BB02,METAMIZOL SODIO,INTRAMUSCULAR,A,DIPIRONA,g,100000.0,2 ML,SOLUCION INYECTABLE,FARMIONNI SCALPI S.A.,FABRICANTE,FABRICAR Y VENDER,
219611,CLINDAMICINA 300 MG /4 ML. INYECTABLE,FARMIONNI SCALPI S.A.,INVIMA M-012845,29/04/1999,25/05/2009,Vencido,219611,1,400.0,CAJA CARTON X 100 AMPOLLAS X 4 ML. VIDRIO TIPO I,Inactivo,11/10/2006,25/05/2009,No,ml,J01FF01,CLINDAMICINA,INTRAVENOSA,A,CLINDAMICINA FOSFATOEQUIVALENTE A CLINDAMICINA BASE,mg,30000000.0,AMPOLLA POR 4 ML,INYECTABLES,LABORATORIOS RYAN DE COLOMBIA S.A.S,FABRICANTE,FABRICAR Y VENDER,
216071,QUICK MIX CON TRAVASOL AL 8.5% Y DEXTROSA AL 50%,BAXTER HEALTHCARE CORPORATION OF PUERTO RICO,INVIMA M-012383,03/04/1999,03/11/2009,Vencido,216071,1,1000.0,BOLSA PLÁSTICA GRADO MÉDICO X 1000ML CON BOLSA EXTERNA DE ALUMINIO PARA PROTEJER DE LA LUZ,Inactivo,28/07/2011,28/07/2011,No,ml,B05BA01,AMINOACIDOS,INTRAVENOSA,C,CLORURO DE MAGNESIO HEXAHIDRATADO,mg,10200000.0,CADA 100ML DE SOLUCION,SOLUCION ESTERIL PARA IRRIGACION,LABORATORIOS BAXTER S.A.,IMPORTADOR,IMPORTAR Y VENDER,
216071,QUICK MIX CON TRAVASOL AL 8.5% Y DEXTROSA AL 50%,BAXTER HEALTHCARE CORPORATION OF PUERTO RICO,INVIMA M-012383,03/04/1999,03/11/2009,Vencido,216071,1,1000.0,BOLSA PLÁSTICA GRADO MÉDICO X 1000ML CON BOLSA EXTERNA DE ALUMINIO PARA PROTEJER DE LA LUZ,Inactivo,28/07/2011,28/07/2011,No,ml,B05BA01,AMINOACIDOS,PARENTERAL,C,CLORURO DE SODIO,mg,15400000.0,CADA 100ML DE SOLUCION,SOLUCION ESTERIL PARA IRRIGACION,LABORATORIOS BAXTER S.A.,IMPORTADOR,IMPORTAR Y VENDER,
32377,KOLA GRANULADA JGB TARRITO ROJO,JGB S.A.,INVIMA M-001363-R2,12/10/1998,20/12/2008,Vencido,32377,8,380.0,TARRO DE POLIETILENO X 380 G EN EL SABOR DE VAINILLA.,Inactivo,11/10/2006,20/12/2008,No,g,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,D,PANTOTENATO DE CALCIO,mg,10000000.0,100 G.,GRANULOS,JGB S.A.,FABRICANTE,FABRICAR Y VENDER,
51666,GYNODAKTARIN,JANSSEN CILAG S.A.,INVIMA 2004M- 006584 R2,30/12/1994,01/01/2015,Vencido,51666,1,80.0,CAJA CON UN TUBO (ALUMINIO) CON 80 G DE CREMA Y DIEZ APLICADORES.,Inactivo,11/10/2006,01/01/2015,No,g,G01AF04,MICONAZOL,VAGINAL,D,NITRATO DE MICONAZOL,g,200000.0,100 G,CREMA VAGINAL,JANSSEN CILAG S.A.,IMPORTADOR,IMPORTAR Y VENDER,
37690,FIBERCON TABLETAS X 500 MG,WYETH CONSUMER HEALTHCARE LTD.,INVIMA M-013688-R1,22/12/1992,12/11/2012,Vencido,37690,5,72.0,CAJA POR 72 TABLETAS (4 BLISTER POR 18 TABLETAS).,Inactivo,11/10/2006,12/11/2012,No,U,A06AC08,CALCIO POLICARBOFILO,ORAL,A,POLICARBOFILO CALCICO USP ( EQUIVALENTE A POLICARBOFILO 500 MG),mg,62500000.0,TABLETA,TABLETA,WYETH CONSUMER HEALTHCARE LTD.,IMPORTADOR,IMPORTAR Y VENDER,
19918608,CALCIUM CARBONATE+ VITAMIN D,CONASANATURAL CORP SAS,INVIMA 2001M-0000550,09/11/2001,10/02/2011,Vencido,19918608,4,30.0,FRASCO PET POR 30 TABLETAS,Inactivo,23/05/2011,10/02/2011,No,U,A12AA20,CALCIO (DIFERENTES SALES EN COMBINACION),ORAL,A,VITAMINA D (ERGOCALCIFEROL),IU,20000000.0,TABLETA,TABLETA,CONSORCIO NATURAL SANTIVERI S.A.S,IMPORTADOR,IMPORTAR Y VENDER,
19918608,CALCIUM CARBONATE+ VITAMIN D,CONASANATURAL CORP SAS,INVIMA 2001M-0000550,09/11/2001,10/02/2011,Vencido,19918608,6,150.0,FRASCO PET POR 150 TABLETAS,Inactivo,23/05/2011,10/02/2011,No,U,A12AA20,CALCIO (DIFERENTES SALES EN COMBINACION),ORAL,A,VITAMINA D (ERGOCALCIFEROL),IU,20000000.0,TABLETA,TABLETA,CONSORCIO NATURAL SANTIVERI S.A.S,IMPORTADOR,IMPORTAR Y VENDER,
217592,ANANDRON TABLETAS 150 MG,SANOFI-AVENTIS DE COLOMBIA S.A.,INVIMA M-006814,18/07/1997,08/06/2007,Vencido,217592,1,30.0,BLISTER ALUMINIO / PVC AMBAR EN CAJA POR 30 TABLETAS,Inactivo,11/10/2006,08/06/2007,No,U,SIN DATO,SIN DATO,SIN DATO,S,NILUTAMIDA,mg,15000000.0,TABLETA,TABLETA,LES LABORATORIES ROUSSEL,FABRICANTE,IMPORTAR Y VENDER,
217584,CAPTOPRIL 25 MG TABLETAS,BCN MEDICAL S.A.,INVIMA M-011032,06/12/1998,25/06/2008,Vencido,217584,1,50.0,CAJA POR 50 TABLETAS EN FOIL DE ALUMINIO,Inactivo,11/10/2006,25/06/2008,No,U,C09AA01,CAPTOPRIL,ORAL,A,CAPTOPRIL,mg,25000000.0,TABLETA,TABLETA,LABORATORIOS VAP LTDA.,FABRICANTE,FABRICAR Y VENDER,
4958,BACTIGRAM F SUSPENSIÓN,FARMA DE COLOMBIA S.A.S.,INVIMA 2015 M-002526- R2,07/02/1995,10/01/2021,Vencido,4958,1,60.0,FRASCO PET AMBAR POR 60 ML.,Inactivo,11/10/2006,10/01/2021,No,ml,J01EE01,SULFAMETOXAZOL Y TRIMETOPRIM,ORAL,B,SULFAMETOXAZOL MICRONIZADO,mg,800000000.0,100 ML SUSPENSIÓN,SUSPENSION ORAL,COASPHARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER,
9811,IBUPROFENO 200 MG,MEMPHIS PRODUCTS S.A.,INVIMA 2006M-003807 -R1,21/01/1996,05/02/2016,Vencido,9811,12,10.0,MUESTRA MÉDICA: CAJA POR 10SIN DATOTABLETAS. EN BLISTER PVC / ALUMINIO.,Inactivo,26/01/2007,05/02/2016,Si,U,M01AE01,IBUPROFENO,ORAL,A,IBUPROFENO,mg,20000000.0,TABLETA,TABLETA,LABORATORIOS CALIFORNIA S.A.,FABRICANTE,FABRICAR Y VENDER,
16180,AMPICILINA MK 250 MG,LABORATORIO RANBAXY LTDA,M-005172,07/06/1996,07/04/2006,Vencido,16180,2,10.0,CAJA X 10 CAPSULAS,Inactivo,11/10/2006,07/04/2006,No,U,J01CA01,AMPICILINA,ORAL,A,AMPICILINA TRIHIDRATADA (EQUIVALENTE A AMPICILINA),mg,29576000.0,CÁPSULA,CAPSULA DURA,RANBAXY,FABRICANTE,IMPORTAR Y VENDER,
20350,BETNOVATE QUINOFORMO CREMA,GLAXOSMITHKLINE COLOMBIA S.A.,INVIMA M-000796-R2,02/10/1998,02/08/2008,Vencido,20350,3,25.0,CAJA DE CARTON CON 1 TUBO DE ALUMINIO X 25 G,Inactivo,11/10/2006,02/08/2008,No,g,D07BC01,BETAMETASONA Y ANTISEPTICOS,TOPICA (EXTERNA),D,YODOCLOROHIDROXIQUINOLEINA,g,300000.0,100 G,CREMA TOPICA,GLAXOSMITHKLINE BRASIL LTDA.,FABRICANTE,IMPORTAR Y VENDER,
24121,VITACIN GRANULADO,INVESTLAB PHARMACEUTICA LTDA,INVIMA M-007518-R1,08/09/1998,08/06/2008,Vencido,24121,2,250.0,FRASCO POTE EN POLIETILENO DE ALTA DENSIDAD POR 250 GRAMOS,Inactivo,11/10/2006,08/06/2008,No,g,A11AA02,MULTIVITAMINAS Y CALCIO,ORAL,E,NICOTINAMIDA,mg,12000000.0,CADA 100G CONTIENEN,GRANULOS,BLISTECO S.A.,FABRICANTE,FABRICAR Y VENDER,
26720,VIPAX POLVO SOLUBLE,TRIDEX FARMACEUTICA S.A.,INVIMA M-008514-R1,06/02/2000,31/05/2010,Vencido,26720,2,100.0,FRASCO POR 100 G.,Inactivo,11/10/2006,31/05/2010,No,g,A09AB04,CITRICO ACIDO,ORAL,D,BICARBONATO DE SODIO,g,5660000.0,100 G.,MEDICAMENTOS NO ESTERILES SOLIDOS - POLVOS Y GRANULADOS,GALEZ PRODUCCION LTDA,FABRICANTE,FABRICAR Y VENDER,
27462,GAVISCON SUSPENSION,FARMA DE COLOMBIA S.A.S,M-009240,03/07/1998,03/04/2008,Vencido,27462,2,120.0,FRASCO POR 120 ML..,Inactivo,11/10/2006,03/04/2008,No,U,A02AB10,COMBINACIONES,ORAL,B,COPRECIPITADO DE HIDROXIDO DE ALUMINIO,mg,102000000.0,100 ML.,SOLUCION ORAL,SERVICIOS TECNICOS FARMACEUTICOSLTDA. S.T.F. LTDA.,FABRICANTE,FABRICAR Y VENDER,
27464,GAVISCON TABLETAS MASTICABLES,FARMA DE COLOMBIA S.A.S,INVIMA M-011423,27/12/1998,24/12/2008,Vencido,27464,2,100.0,FRASCO POR 100 TABLETAS.,Inactivo,11/10/2006,24/12/2008,No,U,A02AB10,COMBINACIONES,ORAL,A,TRISILICATO DE MAGNESIO,mg,2000000.0,TABLETA,TABLETA,SERVICIOS TECNICOS FARMACEUTICOSLTDA. S.T.F. LTDA.,FABRICANTE,FABRICAR Y VENDER,
27577,CHERAGRIP CALIENTE NOCHE,INDUQUIMICA INTERNACIONAL LTDA,INVIMA 2006 M-005343 R-1,29/08/1996,05/04/2016,Vencido,27577,3,360.0,SOBRE SACHET POR 15G EN CAJA POR 24 SOBRES.,Inactivo,11/10/2006,05/04/2016,No,g,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,D,FENILEFRINA CLORHIDRATO,g,0.01,15 G DE GRANULADO,GRANULOS,BIOCHEM FARMACEUTICA DE COLOMBIA S.A. BIOCHEM S.A.,FABRICANTE,FABRICAR Y VENDER,
28147,AMINOSYN 8.5% CON ELECTROLITOS,HOSPIRA INC.,INVIMA M-009772-R1,10/11/1997,09/10/2007,Vencido,28147,2,500.0,FRASCO DE VIDRIO BLANCO TIPO II POR 500 ML.,Inactivo,11/10/2006,09/10/2007,No,U,B05BA01,AMINOACIDOS,PARENTERAL,A,L-ALANINA,mg,110000000.0,100ML,SOLUCION INYECTABLE,ABBOTT LABORATORIES,FABRICANTE,IMPORTAR Y VENDER,
30985,URORENAL,LABORATORIOS PRONABELL S.A.S.,M-005177,08/09/1996,08/07/2006,Vencido,30985,1,60.0,FRASCO POR 60 ML.,Inactivo,11/10/2006,08/07/2006,No,U,J01EE01,SULFAMETOXAZOL Y TRIMETOPRIM,ORAL,E,TRIMETROPIMA,g,0.8,100 ML,SUSPENSION ORAL,LABORATORIOS CALIFORNIA S.A.,FABRICANTE,FABRICAR Y VENDER,
32970,ZINNAT TABLETAS DE 250MG,GLAXOSMITHKLINE COLOMBIA S.A.,INVIMA M-010928-R1,19/04/1999,16/04/2009,Vencido,32970,4,20.0,CAJA X 20 TABLETAS EN SOBRES BLISTER DE ALUMINIO.,Inactivo,11/10/2006,16/04/2009,No,U,J01DC02,CEFUROXIMA,ORAL,A,CEFUROXIMA ACETIL. EQUIVALENTE A CEFUROXIMA BASE 250 MG,mg,30000000.0,TABLETA,TABLETA CUBIERTA (GRAGEA),GLAXO WELLCOME OPERATIONS U.K. LIMITED,FABRICANTE,IMPORTAR Y VENDER,
33696,NAPROSYN DE 250 MG CAPSULAS,GRUNENTHAL GMBH,INVIMA M-002013-R2,07/11/1999,07/08/2009,Vencido,33696,2,10.0,CAJA POR 10 CAPSULASEN BLISTER POR 10 UNIDADES.,Inactivo,11/10/2006,07/08/2009,No,U,M01AE02,NAPROXENO,ORAL,A,NAPROXENO,mg,25000000.0,CAPSULA,CAPSULA BLANDA,GRUNENTHAL COLOMBIANA S.A.,IMPORTADOR,IMPORTAR Y VENDER,
33795,TRAVASOL SOLUSION INYECTABLE 5.5% SIN ELECTROLITOS,BAXTER HEALTHCARE CORPORATION OF PUERTO RICO,INVIMA M-002281-R2,27/04/2000,25/04/2010,Vencido,33795,1,12.0,CAJA POR 12 UNIDADES DE 1000 ML,Inactivo,11/10/2006,25/04/2010,No,U,B05BA01,AMINOACIDOS,PARENTERAL,A,METIONINA,mg,31800000.0,100 ML,SOLUCION INYECTABLE,BAXTER HEALTHCARE CORPORATION OF PUERTO RICO,FABRICANTE,IMPORTAR Y VENDER,
33812,LEMOVIT CAPSULA DURA,PROCAPS S.A.,INVIMA M-002028-R2,11/06/1999,11/03/2009,Vencido,33812,2,10.0,CAJA POR 10 CAPSULAS EN BLISTER PVC/ALUMINIO,Inactivo,11/10/2006,11/03/2009,No,U,A11GA01,ACIDO ASCORBICO (VIT C),ORAL,A,COMPOSICIÓN DE LOS MICROGRANULOS: ACIDO ASCORBICO 100%,mg,50000000.0,CÁPSULA,CAPSULA DURA,LABORATORIOS BUSSIE BUSTILLO & CIA. S.C.A.,FABRICANTE,FABRICAR Y VENDER,
34980,VI-PENTA JARABE,BAYER CONSUMER CARE A.G.,INVIMA M-011074-R1,18/10/1999,15/10/2009,Vencido,34980,3,120.0,FRASCOS AMBAR TIPO III POR 120.,Inactivo,11/10/2006,15/10/2009,No,ml,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,B,VITAMINA E,mg,20000000.0,100 ML,JARABE,BAYER S.A.,IMPORTADOR,FABRICAR Y VENDER,
36439,TUCURIN INYECTABLE,ABBOTT LABORATORIES,INVIMA M-003146-R2,29/08/1999,26/08/2009,Vencido,36439,1,1.0,VIAL X 20 ML DOSIS MULTIPLE,Inactivo,11/10/2006,26/08/2009,No,U,M03AA02,TUBOCURARINA,PARENTERAL,A,TUBOCURARINA CLORURO USP,mg,300000.0,1 ML,INYECTABLES,ABBOTT LABORATORIES DE COLOMBIA S.A.S.,IMPORTADOR,FABRICAR Y VENDER,
36692,COMPLEJO B ORAL,IFSA INDUSTRIAS FARMACEUTICAS S.A.,INVIMA M-011487-R1,15/06/2000,13/06/2010,Vencido,36692,1,120.0,FRASCO POR 120 ML.,Inactivo,11/10/2006,13/06/2010,No,U,A11DA01,TIAMINA (VIT B1),ORAL,B,NICOTINAMIDA,g,0.15,100 ML.,JARABE,IFSA INDUSTRIAS FARMACEUTICAS S.A.,FABRICANTE,FABRICAR Y VENDER,
37359,AMINOSYN 3.5%,HOSPIRA INC.,INVIMA M-003268-R2,22/01/2000,19/01/2010,Vencido,37359,1,1000.0,FRASCO BLANCO TIPO II X 1000 ML.,Inactivo,11/10/2006,19/01/2010,No,U,B05BA01,AMINOACIDOS,PARENTERAL,A,L- L- SERINAUSP,mg,14700000.0,100 ML,SOLUCION INYECTABLE,ABBOTT LABORATORIES,FABRICANTE,IMPORTAR Y VENDER,
37598,SURTEVIT JALEA,LABORATORIO DIZFOMAR LTDA,INVIMA M-13537,31/05/2000,29/05/2010,Vencido,37598,1,250.0,FRASCO DE VIDRIO POR 250 G,Inactivo,11/10/2006,29/05/2010,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,D,VITAMINA B1,mg,675000.0,CADA 100 G,JALEA,GALEZ PRODUCCION LTDA,FABRICANTE,FABRICAR Y VENDER,
39545,NEURO RANDE INYECTABLE,LABORATORIO RANDE S.A.S.,INVIMA 2006M-003920-R1,27/01/1996,06/02/2016,Vencido,39545,1,10.0,CAJA DE PROPALCOTE CON REJILLA PET PARASIN DATOCINCO (5) AMPOLLAS DE 2 ML C/U. VIDRIO TIPO I PIROGRABADO EN COLOR AZUL. CON ARO DE ROT,Inactivo,03/12/2007,06/02/2016,No,ml,A11JA01,COMPLEJO B,INTRAMUSCULAR,A,PIRIDOXINA CLORHIDRATO,mg,5000000.0,CADA 2 ML,SOLUCION INYECTABLE,VITECO S.A.,FABRICANTE,FABRICAR Y VENDER,
